context_id,raw_context,disease,biomarkers,drugs,therapy_type,therapy_strategy,indication,approval_url
0,"if a patient with early invasive breast carcinoma has her2-negative, er positive, one recommended therapy is abemaciclib + tamoxifen. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",early invasive breast carcinoma,"['her2-negative', 'er positive']","['abemaciclib', 'tamoxifen']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
1,"if a patient with early invasive breast carcinoma has her2-negative, pr positive, one recommended therapy is abemaciclib + tamoxifen. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",early invasive breast carcinoma,"['her2-negative', 'pr positive']","['abemaciclib', 'tamoxifen']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
2,"if a patient with early invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib + tamoxifen. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",early invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']","['abemaciclib', 'tamoxifen']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
3,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, one recommended therapy is abemaciclib + anastrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive']","['abemaciclib', 'anastrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
4,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pr positive, one recommended therapy is abemaciclib + anastrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pr positive']","['abemaciclib', 'anastrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
5,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib + anastrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']","['abemaciclib', 'anastrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
6,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, one recommended therapy is abemaciclib + letrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive']","['abemaciclib', 'letrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
7,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, pr positive, one recommended therapy is abemaciclib + letrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pr positive']","['abemaciclib', 'letrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
8,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib + letrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']","['abemaciclib', 'letrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
9,"if a patient with advanced or metastatic invasive breast carcinoma has her2-negative, er positive, one recommended therapy is abemaciclib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + estrogen receptor inhibition. indication: verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",advanced or metastatic invasive breast carcinoma,"['her2-negative', 'er positive']","['abemaciclib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'estrogen receptor inhibition']","verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
